coverage,low_threshold,high_threshold,mosaicism,proportion_normal,proportion_mosaic,proportion_aneuploid,ci_lower_normal,ci_lower_mosaic,ci_lower_aneuploid,ci_upper_normal,ci_upper_mosaic,ci_upper_aneuploid
50,0.1,0.4,0.05,0.9596,0.0404,0,0.9536739289239953,0.03519249880624089,0,0.9648075011937592,0.04632607107600476,9.571082871656929e-4
50,0.1,0.4,0.1,0.7838,0.2162,0,0.7720723869625878,0.2049119513522572,0,0.7950880486477429,0.22792761303741224,9.571082871656929e-4
50,0.1,0.4,0.15,0.4534,0.5466,0,0.4395426469004961,0.532670578754794,0,0.46732942124520604,0.560457353099504,9.571082871656929e-4
50,0.1,0.4,0.2,0.1426,0.8574,0,0.13308509308243963,0.8473306822685001,0,0.1526693177315,0.8669149069175605,9.571082871656929e-4
50,0.1,0.4,0.25,0.0204,0.9796,0,0.016743523638367182,0.9751884404078967,0,0.02481155959210351,0.9832564763616329,9.571082871656929e-4
50,0.1,0.4,0.3,0.002,0.998,0,0.0010166569034496284,0.9961930366950725,0,0.003806963304927508,0.9989833430965503,9.571082871656929e-4
50,0.15,0.3,0,0.9994,6e-4,0,0.9980896770542584,1.5497135605237089e-4,0,0.9998450286439476,0.0019103229457415694,9.571082871656929e-4
50,0.15,0.3,0.05,0.9992,8e-4,0,0.9978018965025948,2.5630421659247497e-4,0,0.9997436957834076,0.002198103497405207,9.571082871656929e-4
50,0.15,0.3,0.1,0.9842,0.0158,0,0.9802425990653697,0.012607418818070013,0,0.9873925811819301,0.019757400934630364,9.571082871656929e-4
50,0.15,0.3,0.15,0.8994,0.1006,0,0.8906497954973581,0.09247038317859171,0,0.9075296168214083,0.10935020450264187,9.571082871656929e-4
50,0.15,0.3,0.2,0.6406,0.3594,0,0.6270961801383311,0.34611368041253443,0,0.6538863195874657,0.37290381986166876,9.571082871656929e-4
50,0.15,0.3,0.25,0.2786,0.7214,0,0.2662487249099457,0.7087060521573976,0,0.29129394784260254,0.7337512750900543,9.571082871656929e-4
50,0.15,0.3,0.3,0.0636,0.935,0.0014,0.0570700593547391,0.9277224914493365,6.136048591048461e-4,0.07080988066807979,0.941599848949236,0.0030212442953097282
50,0.15,0.4,0,0.9994,6e-4,0,0.9980896770542584,1.5497135605237089e-4,0,0.9998450286439476,0.0019103229457415694,9.571082871656929e-4
50,0.15,0.4,0.05,0.9992,8e-4,0,0.9978018965025948,2.5630421659247497e-4,0,0.9997436957834076,0.002198103497405207,9.571082871656929e-4
50,0.15,0.4,0.1,0.9842,0.0158,0,0.9802425990653697,0.012607418818070013,0,0.9873925811819301,0.019757400934630364,9.571082871656929e-4
50,0.15,0.4,0.15,0.8994,0.1006,0,0.8906497954973581,0.09247038317859171,0,0.9075296168214083,0.10935020450264187,9.571082871656929e-4
50,0.15,0.4,0.2,0.6406,0.3594,0,0.6270961801383311,0.34611368041253443,0,0.6538863195874657,0.37290381986166876,9.571082871656929e-4
50,0.15,0.4,0.25,0.2786,0.7214,0,0.2662487249099457,0.7087060521573976,0,0.29129394784260254,0.7337512750900543,9.571082871656929e-4
50,0.15,0.4,0.3,0.0636,0.9364,0,0.0570700593547391,0.9291901193319203,0,0.07080988066807979,0.9429299406452609,9.571082871656929e-4
50,0.2,0.3,0,1,0,0,0.9990428917128344,0,0,1,9.571082871656929e-4,9.571082871656929e-4
50,0.2,0.3,0.05,1,0,0,0.9990428917128344,0,0,1,9.571082871656929e-4,9.571082871656929e-4
50,0.2,0.3,0.1,1,0,0,0.9990428917128344,0,0,1,9.571082871656929e-4,9.571082871656929e-4
50,0.2,0.3,0.15,0.9966,0.0034,0,0.9944387054935871,0.0020471635783267383,0,0.9979528364216733,0.00556129450641301,9.571082871656929e-4
50,0.2,0.3,0.2,0.9634,0.0366,0,0.9577225273553002,0.031647666551336356,0,0.9683523334486637,0.04227747264469994,9.571082871656929e-4
50,0.2,0.3,0.25,0.8064,0.1936,0,0.7951124457648361,0.1827871864427768,0,0.8172128135572233,0.20488755423516392,9.571082871656929e-4
50,0.2,0.3,0.3,0.4838,0.5148,0.0014,0.4698661540157054,0.5008409813601169,6.136048591048461e-4,0.49775889902782805,0.5287361306884223,0.0030212442953097282
50,0.2,0.4,0,1,0,0,0.9990428917128344,0,0,1,9.571082871656929e-4,9.571082871656929e-4
50,0.2,0.4,0.05,1,0,0,0.9990428917128344,0,0,1,9.571082871656929e-4,9.571082871656929e-4
50,0.2,0.4,0.1,1,0,0,0.9990428917128344,0,0,1,9.571082871656929e-4,9.571082871656929e-4
50,0.2,0.4,0.15,0.9966,0.0034,0,0.9944387054935871,0.0020471635783267383,0,0.9979528364216733,0.00556129450641301,9.571082871656929e-4
50,0.2,0.4,0.2,0.9634,0.0366,0,0.9577225273553002,0.031647666551336356,0,0.9683523334486637,0.04227747264469994,9.571082871656929e-4
50,0.2,0.4,0.25,0.8064,0.1936,0,0.7951124457648361,0.1827871864427768,0,0.8172128135572233,0.20488755423516392,9.571082871656929e-4
50,0.2,0.4,0.3,0.4838,0.5162,0,0.4698661540157054,0.5022411009721721,0,0.49775889902782805,0.5301338459842946,9.571082871656929e-4
