low_threshold,high_threshold,coverage,mosaicism,N,prop_normal,prop_mosaic,prop_aneuploid
0.15,0.3,50,0.05,5000,0.9992,8e-4,0
0.15,0.3,50,0.1,5000,0.9842,0.0158,0
0.15,0.3,50,0.15,5000,0.8994,0.1006,0
0.15,0.3,50,0.2,5000,0.6406,0.3594,0
0.15,0.3,50,0.25,5000,0.2786,0.7214,0
0.15,0.3,50,0.3,5000,0.0636,0.935,0.0014
0.15,0.4,5,0,5000,0.7754,0.2226,0.002
0.15,0.4,5,0.05,5000,0.7636,0.2354,0.001
0.15,0.4,5,0.1,5000,0.7232,0.2758,0.001
0.15,0.4,5,0.15,5000,0.6336,0.3654,0.001
0.15,0.4,5,0.2,5000,0.5248,0.4714,0.0038
0.15,0.4,5,0.25,5000,0.4262,0.5638,0.01
0.15,0.4,5,0.3,5000,0.303,0.6726,0.0244
0.15,0.4,10,0,5000,0.916,0.084,0
0.15,0.4,10,0.05,5000,0.8996,0.1004,0
0.15,0.4,10,0.1,5000,0.8462,0.1538,0
0.15,0.4,10,0.15,5000,0.7146,0.2854,0
0.15,0.4,10,0.2,5000,0.5554,0.4446,0
0.15,0.4,10,0.25,5000,0.405,0.5948,2e-4
0.15,0.4,10,0.3,5000,0.2408,0.7568,0.0024
0.15,0.4,20,0,5000,0.982,0.018,0
0.15,0.4,20,0.05,5000,0.9782,0.0218,0
0.15,0.4,20,0.1,5000,0.9156,0.0844,0
0.15,0.4,20,0.15,5000,0.8018,0.1982,0
0.15,0.4,20,0.2,5000,0.5832,0.4168,0
0.15,0.4,20,0.25,5000,0.364,0.636,0
0.15,0.4,20,0.3,5000,0.1708,0.8292,0
0.15,0.4,50,0,5000,0.9994,6e-4,0
0.15,0.4,50,0.05,5000,0.9992,8e-4,0
0.15,0.4,50,0.1,5000,0.9842,0.0158,0
0.15,0.4,50,0.15,5000,0.8994,0.1006,0
0.15,0.4,50,0.2,5000,0.6406,0.3594,0
0.15,0.4,50,0.25,5000,0.2786,0.7214,0
0.15,0.4,50,0.3,5000,0.0636,0.9364,0
0.2,0.3,5,0,5000,0.8932,0.0862,0.0206
0.2,0.3,5,0.05,5000,0.8898,0.0956,0.0146
0.2,0.3,5,0.1,5000,0.8638,0.1178,0.0184
